2024-08-07,Fougniasse,227537,0,83094159756002599700
2024-08-07,Yanskadrood,228283,0,30863764195885108880
2024-08-07,Drquenelle,227534,0,34114823159453745900
2024-08-07,Lepaladin,227760,0,34945963741962124480
2024-08-07,Rageaiki,227755,0,35741452353411643747
2024-08-07,Babiole,227761,0,15422968896865610660
2024-08-07,Babiole,228354,0,18341134506865610660
2024-08-07,Shinseïna,228352,0,99450033626375510080
2024-08-18,Merodeador,228347,0,19011783921289046300
2024-08-18,Trampoukos,228349,0,56779183331771293320
2024-08-18,Trampoukos,228349,0,32782787483177129332
2024-08-21,Absy,18422,0,29117801132263873000
2024-08-21,Mønsîeur,227531,0,94662106261842297000
2024-08-21,Babiole,227763,0,37785820756865610660
2024-08-21,Babiole,227763,0,83368590168656106600
2024-08-21,Mønsîeur,228992,0,83932028626184229700
2024-08-21,Neitsa,228992,0,13872892553376102594
2024-08-21,Yanskadrood,227759,0,27819579385885108880
2024-08-21,Drquenelle,227533,0,30318683181594537459
2024-08-21,Kirisort,228243,0,36308542732884717310
2024-08-21,Danstonass,227763,0,12199949631799424444
2024-08-21,Frømàgedebït,227763,0,22054490253439899592
2024-08-21,Ferancio,227763,0,18915784972372934479
2024-08-21,Mscot,228262,0,38589198657642595180
2024-08-21,Kirisort,227536,0,13578998122884717310
2024-08-21,Danstonass,229372,0,53263569917994244440
2024-08-21,Lysîthea,227531,0,13038844167699116900
2024-08-21,Merobis,227750,0,33033592851147526998
2024-08-21,Madbulltwo,227758,0,16009288264803317500
2024-08-21,Merobis,227758,0,17829753311475269980
2024-08-21,Ossoarathi,227758,0,17097893233129553003
2024-08-21,Yanskadrood,228280,0,35846276935885108880
2024-08-21,Ossoarathi,228460,0,12467987793129553003
2024-08-21,Missbrown,228294,0,26699639513674569197
2024-08-21,Frømàgedebït,228287,0,27648132593439899592
2024-08-21,Merobis,227752,0,41665632421147526998
2024-08-21,Monsîeur,227762,0,61450730332560876890
2024-08-21,Lucifirus,227762,0,38952073632457775847
2024-08-21,Lucifirus,227762,0,13731958402457775847
2024-08-21,Yanskadrood,227765,0,13331033995885108880
2024-08-21,Absy,227765,0,25029814671132263873
2024-08-21,Montjoie,228286,0,92141626529246604490
2024-08-21,Ferancio,227764,0,26179250732372934479
2024-08-21,Neitsa,18291,0,39598100903376102594
2024-08-21,Missbrown,227751,0,28813729733674569197
2024-08-26,Gandlaugh,227757,0,18520504868131174910
2024-08-26,Katulus,227757,0,31868691874109675319
2024-08-26,Matzer,227757,0,32684919185802471700
2024-08-26,Matzer,227757,0,35155672518580247170
2024-08-26,Kezla,227534,0,19128370053162932494
2024-08-26,Hdx,227534,0,41909807352427448082
2024-08-26,Kezla,227534,0,35580564531629324940
2024-08-26,Yanska,227534,0,13981883842628647276
2024-08-26,Neîtsa,227764,0,13301089433170914504
2024-08-26,Hydal,227764,0,17379443243209965306
2024-08-26,Shinseïna,227533,0,87634731263755100800
2024-08-26,Hdx,227533,0,48797074124274480820
2024-08-26,Shinseïna,227533,0,13810237626375510080
2024-08-26,Etorki,227763,0,42680816237882846550
2024-08-26,Neîtsa,227763,0,44239964631709145040
2024-08-26,Furystalia,227760,0,15573306071862616185
2024-08-26,Hydal,227760,0,17722141753209965306
2024-08-26,Matzer,227751,0,11604288971858024717
2024-08-26,Trouducru,227752,0,75286957518465581600
2024-08-26,Stellaire,227535,0,26401126743442678059
2024-08-26,Stellaire,227530,0,29131855583442678059
2024-08-26,Katulus,18703,0,19552231941096753190
2024-08-26,Chaource,228242,0,28525904145139996400
2024-08-26,Hydal,228247,0,21069112233209965306
2024-08-26,Trouducru,228260,0,19484261711846558160
2024-08-26,Trouducru,228127,0,12135242381846558160
2024-08-26,Mønsîeur,228262,0,26112806772618422970
2024-08-26,Etorki,228290,0,31538103883788284655
2024-08-26,Lepaladin,228286,0,29454459484196212448
2024-08-26,Mønsîeur,228243,0,12291032632618422970
2024-08-26,Shinseïna,227535,0,34549749242637551008
2024-08-26,Chaource,227764,0,11319685244513999640
2024-08-26,Matzer,227756,0,12633906341858024717
2024-08-26,Yanska,228269,0,10357400322628647276
2024-08-26,Etorki,228267,0,19603418383788284655
2024-08-26,Trouducru,228229,0,36833298091846558160
